x,y,z,pen,layer
0.87313,0.47959,0,1,0
0.87405,0.47977,0,1,0
0.87500,0.47982,0,1,0
0.87595,0.47977,0,1,0
0.87686,0.47959,0,1,0
0.87774,0.47931,0,1,0
0.87856,0.47894,0,1,0
0.87933,0.47847,0,1,0
0.88003,0.47791,0,1,0
0.88066,0.47728,0,1,0
0.88122,0.47657,0,1,0
0.88169,0.47581,0,1,0
0.88207,0.47498,0,1,0
0.88235,0.47411,0,1,0
0.88252,0.47319,0,1,0
0.88258,0.47224,0,1,0
0.88252,0.47129,0,1,0
0.88235,0.47038,0,1,0
0.88207,0.46951,0,1,0
0.88169,0.46868,0,1,0
0.88122,0.46791,0,1,0
0.88066,0.46721,0,1,0
0.88003,0.46658,0,1,0
0.87933,0.46602,0,1,0
0.87856,0.46555,0,1,0
0.87774,0.46518,0,1,0
0.87686,0.46490,0,1,0
0.87595,0.46472,0,1,0
0.87500,0.46466,0,1,0
0.87405,0.46472,0,1,0
0.87313,0.46490,0,1,0
0.87226,0.46518,0,1,0
0.87143,0.46555,0,1,0
0.87067,0.46602,0,1,0
0.86996,0.46658,0,1,0
0.86933,0.46721,0,1,0
0.86877,0.46791,0,1,0
0.86830,0.46868,0,1,0
0.86793,0.46951,0,1,0
0.86765,0.47038,0,1,0
0.86747,0.47129,0,1,0
0.86742,0.47224,0,1,0
1.51124,0.60595,0,0,0
1.51130,0.60690,0,1,0
1.51147,0.60781,0,1,0
1.51175,0.60868,0,1,0
1.51213,0.60950,0,1,0
1.51260,0.61026,0,1,0
1.51315,0.61097,0,1,0
1.51378,0.61160,0,1,0
1.51448,0.61215,0,1,0
1.51525,0.61262,0,1,0
1.51607,0.61300,0,1,0
1.51694,0.61327,0,1,0
1.51785,0.61345,0,1,0
1.51880,0.61351,0,1,0
1.51975,0.61345,0,1,0
1.52066,0.61327,0,1,0
1.52153,0.61300,0,1,0
1.52235,0.61262,0,1,0
1.52312,0.61215,0,1,0
1.52382,0.61160,0,1,0
1.52445,0.61097,0,1,0
1.52500,0.61026,0,1,0
